                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.97214,                0.93297,                 1.3797,                0.88349,                0.74979,                0.86478,                0.63622,                0.99955,                 1.0267,                 1.3631,              0.0077725,              0.0077725,              0.0077725
                     48,                0.97303,                0.94247,                 1.3874,                0.86024,                0.74794,                0.85582,                0.63102,                  1.005,                 1.0836,                 1.3638,               0.007723,               0.007723,               0.007723
                     49,                0.96588,                0.93315,                 1.3818,                0.87385,                0.75716,                0.86296,                0.63356,                0.99701,                 1.0073,                 1.3619,              0.0076735,              0.0076735,              0.0076735
                     50,                0.96248,                0.92318,                 1.3794,                0.86824,                0.77004,                 0.8671,                 0.6396,                0.98598,                0.97487,                 1.3506,               0.007624,               0.007624,               0.007624
                     51,                0.95794,                0.91681,                 1.3752,                0.86651,                0.78079,                 0.8685,                0.64551,                0.97585,                0.94657,                 1.3411,              0.0075745,              0.0075745,              0.0075745
                     52,                0.95521,                0.90239,                 1.3692,                0.87467,                0.76501,                0.86854,                0.64076,                0.98194,                0.95934,                 1.3467,               0.007525,               0.007525,               0.007525
                     53,                0.94956,                0.90375,                 1.3663,                0.86887,                0.75581,                0.86633,                 0.6406,                0.98482,                0.96635,                 1.3467,              0.0074755,              0.0074755,              0.0074755
                     54,                0.95153,                0.90954,                 1.3695,                0.88154,                0.75368,                 0.8717,                0.64577,                0.98493,                0.97165,                  1.347,               0.007426,               0.007426,               0.007426
                     55,                0.96407,                0.91676,                 1.3762,                0.89325,                0.75482,                0.87215,                0.64746,                0.97496,                0.96127,                  1.339,              0.0073765,              0.0073765,              0.0073765
                     56,                0.95186,                0.90219,                 1.3666,                0.90113,                0.75321,                0.87311,                0.64751,                0.97168,                0.95639,                 1.3315,               0.007327,               0.007327,               0.007327
                     57,                0.94652,                0.88325,                  1.361,                 0.8855,                0.77303,                0.87586,                0.65198,                0.97145,                0.95937,                 1.3279,              0.0072775,              0.0072775,              0.0072775
                     58,                 0.9526,                 0.9036,                 1.3638,                0.87871,                0.78175,                0.87957,                0.65496,                0.96778,                0.95374,                 1.3253,               0.007228,               0.007228,               0.007228
                     59,                0.94488,                0.88436,                 1.3568,                0.88363,                0.77146,                0.87873,                0.65516,                0.96615,                  1.004,                 1.3269,              0.0071785,              0.0071785,              0.0071785
                     60,                0.94041,                0.87626,                 1.3568,                0.84491,                0.79434,                0.87843,                0.65601,                0.96273,                 1.0162,                 1.3237,               0.007129,               0.007129,               0.007129
                     61,                0.93884,                0.87987,                 1.3537,                0.84758,                0.79836,                0.87988,                0.65761,                0.95455,                0.99299,                 1.3225,              0.0070795,              0.0070795,              0.0070795
                     62,                0.93881,                0.88274,                 1.3565,                0.86079,                0.79405,                0.88366,                0.66009,                0.95109,                0.99345,                 1.3155,                0.00703,                0.00703,                0.00703
                     63,                0.93966,                0.87249,                 1.3559,                0.86609,                0.78822,                0.87971,                0.65981,                0.95125,                 1.0103,                  1.317,              0.0069805,              0.0069805,              0.0069805
                     64,                0.93252,                0.86645,                 1.3506,                0.86028,                0.79535,                0.88091,                0.65789,                0.95547,                 1.0745,                 1.3214,               0.006931,               0.006931,               0.006931
                     65,                0.93184,                0.86484,                 1.3518,                0.87012,                0.79056,                0.88441,                0.66036,                0.95305,                 1.0873,                 1.3204,              0.0068815,              0.0068815,              0.0068815
                     66,                0.91759,                0.84785,                 1.3385,                0.86805,                0.79109,                0.88306,                0.66051,                0.95525,                 1.0434,                 1.3212,               0.006832,               0.006832,               0.006832
                     67,                0.92415,                0.85572,                 1.3402,                0.87384,                0.79034,                0.88483,                0.66196,                0.95668,                 1.0184,                 1.3214,              0.0067825,              0.0067825,              0.0067825
                     68,                0.92725,                0.85384,                 1.3422,                0.85562,                0.79913,                0.88307,                0.66148,                0.95569,                 1.0226,                 1.3208,               0.006733,               0.006733,               0.006733
                     69,                0.91152,                0.84387,                 1.3356,                0.87484,                0.78721,                 0.8833,                 0.6626,                0.95513,                0.99297,                 1.3195,              0.0066835,              0.0066835,              0.0066835
