                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.79259,                0.66216,                 1.2642,                0.89724,                 0.8619,                0.92616,                0.74064,                0.81034,                  0.614,                 1.2161,               0.007327,               0.007327,               0.007327
                     57,                0.78858,                0.65222,                 1.2593,                0.90851,                0.86376,                0.92944,                0.74212,                0.81109,                0.59666,                 1.2167,              0.0072775,              0.0072775,              0.0072775
                     58,                 0.7922,                0.66116,                 1.2602,                0.90358,                0.87073,                0.92968,                0.74364,                 0.8109,                 0.5722,                 1.2169,               0.007228,               0.007228,               0.007228
                     59,                0.78198,                0.64453,                 1.2512,                  0.899,                0.86055,                0.92772,                0.74423,                0.80827,                0.66602,                 1.2169,              0.0071785,              0.0071785,              0.0071785
                     60,                0.77647,                0.63571,                 1.2508,                0.89856,                  0.862,                0.92781,                0.74637,                0.80246,                0.69527,                 1.2135,               0.007129,               0.007129,               0.007129
                     61,                0.77068,                0.63209,                 1.2436,                0.90605,                0.86821,                0.93007,                0.74707,                0.80593,                0.62934,                 1.2213,              0.0070795,              0.0070795,              0.0070795
                     62,                0.76913,                0.63102,                 1.2404,                0.89495,                0.86313,                0.92791,                0.74586,                0.80483,                0.63267,                 1.2195,                0.00703,                0.00703,                0.00703
                     63,                0.77307,                0.62638,                 1.2469,                0.89695,                0.86272,                0.92487,                0.74598,                0.80606,                0.62309,                 1.2218,              0.0069805,              0.0069805,              0.0069805
                     64,                0.76419,                0.61887,                 1.2348,                0.89819,                0.86235,                0.92468,                0.74466,                0.80608,                0.63265,                   1.22,               0.006931,               0.006931,               0.006931
                     65,                0.76066,                0.62022,                 1.2353,                0.88953,                0.87004,                0.92628,                0.74777,                0.80386,                0.61812,                 1.2184,              0.0068815,              0.0068815,              0.0068815
                     66,                0.74142,                0.60275,                 1.2234,                0.90516,                0.85517,                0.92818,                0.74953,                0.80443,                0.59563,                 1.2199,               0.006832,               0.006832,               0.006832
                     67,                0.74636,                0.61179,                 1.2279,                0.90173,                0.85809,                 0.9285,                0.75063,                0.80078,                0.56988,                 1.2171,              0.0067825,              0.0067825,              0.0067825
                     68,                0.74495,                0.59976,                 1.2241,                 0.9074,                0.86278,                0.93056,                0.75277,                0.79961,                0.55285,                 1.2173,               0.006733,               0.006733,               0.006733
                     69,                0.74007,                0.60047,                 1.2196,                0.90022,                0.87144,                0.92911,                0.75325,                0.79747,                0.55181,                 1.2143,              0.0066835,              0.0066835,              0.0066835
                     70,                0.72686,                0.58757,                 1.2164,                0.89324,                0.88445,                0.93219,                  0.755,                0.79539,                 0.5532,                  1.212,               0.006634,               0.006634,               0.006634
                     71,                0.73325,                0.59491,                 1.2172,                0.90447,                0.87374,                0.93253,                0.75666,                0.79368,                0.55317,                 1.2117,              0.0065845,              0.0065845,              0.0065845
                     72,                0.73217,                0.59491,                 1.2179,                0.90312,                0.87794,                0.93242,                0.75751,                0.79217,                0.54964,                 1.2122,               0.006535,               0.006535,               0.006535
                     73,                0.72705,                0.59009,                 1.2132,                0.91273,                0.86973,                0.93377,                0.75939,                0.78713,                0.55325,                 1.2077,              0.0064855,              0.0064855,              0.0064855
